FeatureExtraction,DimReduction,Normalization,NumberComponents,Classifier,KFold01_ROCScore,KFold02_ROCScore,KFold03_ROCScore,KFold04_ROCScore,KFold05_ROCScore,KFold06_ROCScore,KFold07_ROCScore,KFold08_ROCScore,KFold09_ROCScore,KFold10_ROCScore,ROCScore_Mean,ROCScore_SD
ResNet101,Full,No,100352,LinearSVM,0.875,0.913,0.9706,0.8571,0.9118,0.9097,0.9118,0.9688,0.9545,0.9404,0.9213,0.0358
ResNet101,Full,No,100352,MLP,0.7,0.8732,0.9412,0.7357,0.8529,0.9444,0.9412,0.9722,0.9545,0.8544,0.877,0.0896
ResNet101,Full,No,100352,Logistic,0.875,0.913,0.9706,0.8571,0.9118,0.9097,0.9118,0.9688,0.9545,0.9404,0.9213,0.0358
ResNet101,Full,No,100352,RandomForest,0.8,0.8714,0.8824,0.8321,0.9118,0.941,0.9412,0.9444,0.9545,0.8807,0.8959,0.0494
ResNet101,Full,No,100352,Adaboost,0.8333,0.8062,0.8235,0.7821,0.8529,0.7674,0.8824,0.9097,0.9545,0.8877,0.85,0.056
ResNet101,Full,No,100352,Gaussian,0.6167,0.7446,0.7059,0.5679,0.5588,0.5139,0.7353,0.6875,0.7614,0.7158,0.6608,0.0843
ResNet152,Full,No,100352,PCC,0.7,0.5924,0.7059,0.7357,0.7059,0.7917,0.7647,0.5764,0.7841,0.814,0.7171,0.0761
ResNet152,Full,No,100352,J48,0.7917,0.7645,0.7647,0.7571,0.7647,0.8229,0.9118,0.941,0.8295,0.8614,0.8209,0.0623
ResNet152,Full,No,100352,RBF,0.8667,0.913,0.8529,0.7714,0.9412,0.9375,0.8824,0.8785,0.9545,0.8807,0.8879,0.0508
ResNet152,Full,No,100352,LinearSVM,0.8667,0.9348,0.9706,0.8214,0.9706,0.9097,0.9706,0.9375,0.9129,0.9333,0.9228,0.0458
ResNet152,Full,No,100352,MLP,0.8583,0.9348,0.9412,0.7107,0.9118,0.8611,0.8824,0.9132,0.9545,0.8877,0.8856,0.0661
ResNet152,Full,No,100352,Logistic,0.8667,0.913,0.9706,0.8214,0.9412,0.9375,0.9706,0.9375,0.9129,0.9333,0.9205,0.0436
ResNet152,Full,No,100352,RandomForest,0.8583,0.8913,0.9118,0.8071,0.8824,0.9132,0.9412,0.8785,0.9129,0.9404,0.8937,0.0382
ResNet152,Full,No,100352,Adaboost,0.8583,0.8913,0.8529,0.8214,0.8235,0.941,0.9118,0.8507,0.8258,0.9,0.8677,0.0392
ResNet152,Full,No,100352,Gaussian,0.625,0.7899,0.6471,0.4107,0.7059,0.6597,0.6176,0.6562,0.6477,0.6439,0.6404,0.0899
ResNet50V2,Full,No,100352,PCC,0.5917,0.5707,0.5882,0.6143,0.6765,0.7083,0.5882,0.5729,0.6553,0.6877,0.6254,0.049
ResNet50V2,Full,No,100352,J48,0.775,0.7029,0.7647,0.7214,0.7647,0.6146,0.7059,0.8507,0.6326,0.8211,0.7354,0.0716
ResNet50V2,Full,No,100352,RBF,0.9167,0.8714,0.9118,0.8071,0.9118,0.9132,0.8235,0.8819,0.8712,0.8807,0.8789,0.0362
ResNet50V2,Full,No,100352,LinearSVM,0.8667,0.913,0.8824,0.8571,0.9118,0.9132,0.8529,0.9097,0.9129,0.9404,0.896,0.0277
ResNet50V2,Full,No,100352,MLP,0.8167,0.8913,0.9412,0.8321,0.9118,0.8611,0.9118,0.9062,0.8939,0.8667,0.8833,0.0367
ResNet50V2,Full,No,100352,Logistic,0.8667,0.913,0.8824,0.8571,0.8824,0.8854,0.8824,0.9097,0.9129,0.907,0.8899,0.0189
ResNet50V2,Full,No,100352,RandomForest,0.8083,0.8931,0.8824,0.8321,0.8529,0.8854,0.9412,0.9375,0.9318,0.907,0.8872,0.0428
ResNet50V2,Full,No,100352,Adaboost,0.8583,0.8714,0.8235,0.725,0.7647,0.8576,0.7941,0.9097,0.8106,0.8474,0.8262,0.0518
ResNet50V2,Full,No,100352,Gaussian,0.75,0.8116,0.8235,0.6929,0.7941,0.7431,0.7941,0.7743,0.803,0.8088,0.7795,0.0381
ResNet101V2,Full,No,100352,PCC,0.7667,0.6341,0.7059,0.7,0.8529,0.6424,0.7353,0.6146,0.6553,0.6544,0.6961,0.0693
ResNet101V2,Full,No,100352,J48,0.8833,0.7446,0.8235,0.7679,0.7647,0.7083,0.7647,0.7361,0.6553,0.7947,0.7643,0.059
ResNet101V2,Full,No,100352,RBF,0.8833,0.9149,0.8529,0.8071,0.8824,0.8854,0.8529,0.8507,0.9545,1,0.8884,0.053
ResNet101V2,Full,No,100352,LinearSVM,0.9167,0.8931,0.8824,0.8571,0.9412,0.941,0.9412,0.9097,0.9545,1,0.9237,0.0387
ResNet101V2,Full,No,100352,MLP,0.9167,0.8913,0.8529,0.8679,0.9706,0.9167,0.9412,0.9062,0.8939,0.8877,0.9045,0.0325
ResNet101V2,Full,No,100352,Logistic,0.9167,0.8931,0.8824,0.8571,0.9412,0.941,0.9412,0.9375,0.9773,1,0.9287,0.0408
ResNet101V2,Full,No,100352,RandomForest,0.9333,0.9366,0.8824,0.8321,0.8824,0.8576,0.8824,0.9097,0.9545,0.9404,0.9011,0.038
ResNet101V2,Full,No,100352,Adaboost,0.875,0.7645,0.9118,0.9036,0.8824,0.8194,0.9118,0.8472,0.8674,0.8807,0.8664,0.0436
ResNet101V2,Full,No,100352,Gaussian,0.7583,0.7464,0.8235,0.5071,0.6176,0.7396,0.7059,0.7743,0.7348,0.6702,0.7078,0.0857
ResNet152V2,Full,No,100352,PCC,0.625,0.6775,0.6471,0.625,0.6765,0.6354,0.6765,0.6701,0.6515,0.5947,0.6479,0.0266
ResNet152V2,Full,No,100352,J48,0.5667,0.6594,0.7059,0.6857,0.6471,0.6701,0.7647,0.7396,0.7917,0.8474,0.7078,0.0766
ResNet152V2,Full,No,100352,RBF,0.8583,0.8931,0.8824,0.8071,0.8824,0.8576,0.7941,0.9444,0.9129,0.9404,0.8773,0.0476
